127.0.0.1 - - [13/Nov/2019:11:18:28 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:18:29 +0900] "GET /ex/WEB-INF/classes/com/spring/ex/StudentController.java HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:19:06 +0900] "GET /ex/studentForm HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:19:30 +0900] "GET /ex/student/create?name=%B9%DA%BC%F6%C7%F6&id=hyun5292 HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:21:01 +0900] "GET /ex/WEB-INF/classes/com/spring/ex/StudentController.java HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:21:23 +0900] "GET /ex/student/create?name=ParkSuHyun&id=hyun5292 HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:21:36 +0900] "GET /ex/student/create?name=ParkSuHyun&id=hyun5292 HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:22:41 +0900] "GET /ex/student/create?name=ParkSuHyun&id=0 HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:22:50 +0900] "GET /ex/student/create?name=ParkSuHyun&id=Hyun5292 HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:24:50 +0900] "GET /ex/student/create?name=ParkSuHyun&id=1 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:25:00 +0900] "GET /ex/student/create?name=ParkSuHyun&id=1234 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:30 +0900] "GET /ex/student/create?name=&id=1234 HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:30 +0900] "GET /ex/student/create?name=&id=1234 HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:30 +0900] "GET /ex/student/create?name=&id=1234 HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:30 +0900] "GET /ex/student/create?name=&id=1234 HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:30 +0900] "GET /ex/student/create?name=&id=1234 HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:34 +0900] "GET /ex/student/create?name=+&id=1234 HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:35 +0900] "GET /ex/student/create?name=+&id=1234 HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:36 +0900] "GET /ex/student/create?name=+&id=1234 HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:36 +0900] "GET /ex/student/create?name=+&id=1234 HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:37 +0900] "GET /ex/student/create?name=+&id=1234 HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:37 +0900] "GET /ex/student/create?name=+&id=1234 HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:43 +0900] "GET /ex/student/create?name=+&id= HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:44 +0900] "GET /ex/student/create?name=+&id=0 HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:45 +0900] "GET /ex/student/create?name=+&id=0 HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:38:58 +0900] "GET /ex/student/create?name=+ParkSuHyun&id=5292 HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:49:46 +0900] "GET /ex/student/create?name=+ParkSuHyun&id=5292 HTTP/1.1" 200 216
